
For office        |  Activity Identification  |   Time Interval Estimates   |                 | 
use only          +-------+-------------+-----+---------+---------+---------+    Schedulled   |
                  |  Beggining  |  Ending     | Opti-   | Most    | Pessi-  |   Completition  | Remarks
            Report|  Event No.  |  Event No.  | mistic  | Likely  | mistic  |      Date       |
              code|             |             | (weeks) | (weeks) | (weeks) |                 |
(1) (2) (3) | (4) |     (B)     |     (C)     |   (D)   |   (E)   |  (F)    |       (G)       |   (H)
------------+-----+-------------+-------------+---------+---------+---------+-----------------+-----------
12   13-16  |  43 | 18   -   26 | 34   -   42 | 44 - 47 | 48 - 51 | 52 - 55 | 60     -     65 |
------------+-----+-------------+-------------+---------+---------+---------+-----+-----+-----+-----------
x    xx xx  |  x  | xxx-xxx-xxx | xxx-xxx-xxx |  xxx.x  |  xxx.x  |  xxx.x  | Mo. | Day | Yr. |
------------+-----+-------------+-------------+---------+---------+---------+-----------------+-----------
1                   022-099-001   022-100-001      2         3          4     
1                   022-099-001   022-100-002      2         3          4     
1                   022-099-001   022-100-003      2         3          4     
1                   022-099-001   022-100-004      2         3          4     
1                   022-099-001   022-100-005      2         3          4     
1                   022-099-001   022-100-006      2         3          4     

1                   022-099-001   023-100-001      2         3          4     
1                   022-099-001   023-100-002      2         3          4     
1                   022-099-001   023-100-003      2         3          4     

1    76 77     9    022-100-001   022-200-001      2         3          4     
1              9    022-100-001   022-201-001      3         4          6     
1              9    022-100-001   022-203-001      2         4          5     
1              9    022-100-001   022-202-001      8         9         15     
1              9    022-100-001   022-204-001      1         1.5        8     
1              9    022-100-001   022-205-001      1         1.5        8     

1                   022-100-002   022-210-001      2         3          4     
1                   022-100-002   022-211-001      3         4          6     
1                   022-100-002   022-213-001      2         4          5     
1                   022-100-002   022-212-001      8         9         15     
1                   022-100-002   022-214-001      1         1.5        8     
1                   022-100-002   022-215-001      1         1.5        8     

1                   022-100-003   022-220-001      2         3          4     
1                   022-100-003   022-221-001      3         4          6     
1                   022-100-003   022-223-001      2         4          5     
1                   022-100-003   022-222-001      8         9         15     
1                   022-100-003   022-224-001      1         1.5        8     
1                   022-100-003   022-225-001      1         1.5        8     

1                   022-200-001   022-200-002      1         1.5        2
1                   022-200-002   022-200-003      4         5          6
1                   022-200-003   022-200-004     11        22         33
1                   022-200-003   022-200-005      4         5          5.5   07    31    58
1                   022-200-003   022-200-006      3         4          5
1                   022-200-006   022-200-007     10        11          12
1                   022-200-007   022-200-008      5         6          7
1                   022-200-008   022-200-009      8         9          10 
1                   022-200-009   022-200-010      2         3          4     06    21    58    
1                   022-200-010   022-200-011      1         3          6
1                   022-200-011   022-200-012      5         7         10
1                   022-200-011   022-200-013      3         6         10
1                   022-200-012   022-200-014      6        12         23
1                   022-200-014   022-200-015     98       102        130  
1                   022-200-013   022-200-015      7        10         14
1                   022-200-015   022-200-016      5         5.5        8
1                   022-200-016   022-200-017     34        45         60
1                   022-200-016   022-200-018      3         7          9
1                   022-200-016   022-200-019      5         6          9
1                   022-200-016   022-200-020      7         7         11
1                   022-200-017   022-200-021      8         9         14
1                   022-200-018   022-200-022      4         8         15
1                   022-200-019   022-200-022      6         9         12
1                   022-200-020   022-200-023      7        12         16
1                   022-200-021   022-200-024     89       110        120 
1                   022-200-022   022-200-024     56        65         70
1                   022-200-023   022-200-024      5         7          9
1                   022-200-024   022-200-025      6        14         20
1                   022-200-024   022-200-026     78        99        120
1                   022-200-025   022-200-027     89        90        110
1                   022-200-027   022-200-028      5         8         12
1                   022-200-026   022-200-028     54        66         77
1                   022-200-026   022-200-029      6         9         14
1                   022-200-029   022-200-028      4         6          9
1                   022-200-028   022-200-030      6         9         12

1                   022-201-001   022-201-002     98       102        130                       
1                   022-201-002   022-201-003      7        10         14                       
1                   022-201-003   022-201-004      5         5.5        8                       
1                   022-201-003   022-201-005     34        45         60                       
1                   022-201-003   022-201-006      3         7          9                       
1                   022-201-006   022-201-007      5         6          9                       
1                   022-201-007   022-201-008      7         7         11                       
1                   022-201-008   022-201-009      8         9         14      08    30    58   
1                   022-201-009   022-201-010      4         8         15                         
1                   022-201-010   022-201-011      6         9         12                       
1                   022-201-011   022-201-012      7        12         16                       
1                   022-201-011   022-201-013     89       110        120                       
1                   022-201-012   022-201-014     56        65         70      09    21    58   
1                   022-201-014   022-201-015      5         7          9                    
1                   022-201-013   022-201-015      6        14         20                    
1                   022-201-015   022-201-016     78        99        120                    
1                   022-201-016   022-201-017     89        90        110                    
1                   022-201-016   022-201-018      5         8         12                    
1                   022-201-016   022-201-019     54        66         77                    
1                   022-201-016   022-201-020      6         9         14                       
1                   022-201-017   022-201-021      4         6          9                       
1                   022-201-018   022-201-022      6         9         12                       
1                   022-201-019   022-201-022      1         1.5        2                       
1                   022-201-020   022-201-023      4         5          6                       
1                   022-201-021   022-201-024     11        22         33                       
1                   022-201-022   022-201-024      4         5          5.5                     
1                   022-201-023   022-201-024      3         4          5                       
1                   022-201-024   022-201-025     10        11          12                      
1                   022-201-024   022-201-026      5         6          7                    
1                   022-201-025   022-201-027      8         9          10                   
1                   022-201-027   022-201-028      2         3          4                    
1                   022-201-026   022-201-028      1         3          6                    
1                   022-201-026   022-201-029      5         7         10                    
1                   022-201-029   022-201-028      3         6         10                    
1                   022-201-028   022-201-030      6        12         23                    

1                   022-202-001   022-202-002     89       110        120                        
1                   022-202-002   022-202-003     56        65         70      10    21    58    
1                   022-202-003   022-202-004      5         7          9                        
1                   022-202-003   022-202-005      6        14         20                        
1                   022-202-003   022-202-006     78        99        120                        
1                   022-202-006   022-202-007     89        90        110                        
1                   022-202-007   022-202-008      5         8         12                        
1                   022-202-008   022-202-009     54        66         77                        
1                   022-202-009   022-202-010      6         9         14                          
1                   022-202-010   022-202-011      4         6          9                        
1                   022-202-011   022-202-012      6         9         12                        
1                   022-202-011   022-202-013      1         1.5        2                       
1                   022-202-012   022-202-014      4         5          6                       
1                   022-202-014   022-202-015     11        22         33                      
1                   022-202-013   022-202-015      4         5          5.5                    
1                   022-202-015   022-202-016      3         4          5                      
1                   022-202-016   022-202-017     10        11          12                     
1                   022-202-016   022-202-018      5         6          7                      
1                   022-202-016   022-202-019      8         9          10                     
1                   022-202-016   022-202-020      2         3          4                       
1                   022-202-017   022-202-021      1         3          6                       
1                   022-202-018   022-202-022      5         7         10                       
1                   022-202-019   022-202-022      3         6         10                       
1                   022-202-020   022-202-023      6        12         23                       
1                   022-202-021   022-202-024     98       102        130                       
1                   022-202-022   022-202-024      7        10         14                       
1                   022-202-023   022-202-024      5         5.5        8                       
1                   022-202-024   022-202-025     34        45         60                       
1                   022-202-024   022-202-026      3         7          9                      
1                   022-202-025   022-202-027      5         6          9                      
1                   022-202-027   022-202-028      7         7         11                      
1                   022-202-026   022-202-028      8         9         14      11    30    58  
1                   022-202-026   022-202-029      4         8         15                      
1                   022-202-029   022-202-028      6         9         12                      
1                   022-202-028   022-202-030      7        12         16                      

1                   022-203-001   022-203-002      1         1.5        2                    
1                   022-203-002   022-203-003      4         5          6                    
1                   022-203-003   022-203-004     11        22         33                    
1                   022-203-003   022-203-005      4         5          5.5                  
1                   022-203-003   022-203-006      3         4          5                    
1                   022-203-006   022-203-007     10        11          12                   
1                   022-203-007   022-203-008      5         6          7                    
1                   022-203-008   022-203-009      8         9          10                   
1                   022-203-009   022-203-010      2         3          4                    
